"M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source","ID"
4,5,4,5,5,5,5,5,5,4,3,4,3,5,2,5,2,5,5,2,5,5,4,4,2,5,5,"IE",2,"16790"
5,3,3,4,3,4,4,2,4,5,1,3,4,4,2,4,2,2,3,3,2,4,4,3,2,4,2,"US",2,"3673"
4,3,2,5,4,4,5,2,3,3,3,3,3,4,4,2,4,3,3,4,2,2,1,2,4,2,2,"US",1,"4992"
5,4,5,4,5,5,4,4,5,3,4,3,3,5,3,4,2,2,2,4,5,1,4,4,5,1,3,"GB",3,"14524"
4,4,1,2,1,3,4,4,4,4,2,1,2,4,4,2,4,2,1,4,2,1,4,1,4,1,1,"US",1,"10128"
5,3,4,4,4,3,5,2,5,4,4,2,4,4,4,4,2,4,3,4,3,3,2,2,4,4,2,"US",1,"3896"
3,1,2,4,1,1,4,1,4,3,3,1,2,3,4,2,2,5,1,3,1,1,2,1,5,3,1,"US",1,"12390"
4,2,3,2,2,1,3,1,1,3,3,2,3,3,3,2,4,3,2,4,1,1,1,1,1,1,1,"CA",3,"1353"
4,4,4,4,5,5,5,3,4,2,3,2,2,5,3,2,2,5,5,4,3,2,2,3,4,3,3,"DE",3,"933"
4,2,3,4,2,3,4,2,4,4,2,3,4,4,4,4,2,4,2,2,2,2,4,3,4,4,2,"GB",3,"13336"
5,5,4,4,5,5,5,3,5,3,1,4,5,4,1,4,1,4,4,4,2,1,5,5,5,1,5,"MX",1,"13009"
4,4,4,4,3,2,4,2,4,4,3,2,2,4,3,3,1,5,3,4,1,1,3,4,4,2,3,"AE",3,"13879"
2,2,2,2,4,3,4,2,4,4,4,3,3,2,2,3,2,3,2,2,2,4,4,2,2,4,2,"US",3,"17191"
3,1,1,1,1,4,4,1,1,1,5,1,1,1,5,1,5,1,2,5,1,1,4,1,5,1,1,"US",1,"4786"
4,4,2,2,5,4,4,2,4,4,4,2,4,3,4,1,4,5,4,5,2,1,4,3,5,1,1,"US",1,"2555"
5,2,3,2,3,3,5,3,3,3,3,2,2,4,4,2,2,3,2,4,2,2,3,2,4,2,2,"US",1,"8546"
4,4,4,3,3,4,4,4,4,5,3,2,3,4,2,2,2,4,4,3,3,4,3,4,2,3,3,"GB",2,"8797"
5,4,3,4,5,4,5,2,4,4,5,3,2,3,5,3,2,3,4,2,3,1,2,2,2,4,2,"US",3,"16493"
5,4,4,4,4,5,5,3,5,5,3,1,4,4,2,5,1,3,4,5,2,1,4,2,2,1,2,"CA",1,"14545"
3,4,5,3,4,3,5,4,3,4,1,5,4,5,1,5,3,5,5,4,5,3,5,5,5,1,3,"GB",1,"1529"
4,4,4,4,4,5,5,4,4,2,1,4,3,5,2,4,4,2,4,2,3,2,4,2,2,5,2,"US",2,"17200"
2,3,3,2,4,1,4,3,4,4,1,4,4,4,1,4,1,5,3,2,2,4,4,1,2,2,2,"US",2,"8831"
4,2,3,4,4,5,5,2,5,4,2,4,4,5,2,4,1,3,3,2,2,4,3,2,1,4,3,"US",1,"10659"
4,4,2,4,2,2,4,2,4,3,4,2,2,3,2,2,4,4,2,4,2,1,2,2,2,1,1,"US",1,"2396"
5,2,5,5,4,4,4,5,5,4,5,3,2,5,2,3,1,5,3,4,3,4,5,3,3,5,5,"GB",2,"1583"
4,3,3,3,4,4,4,3,5,4,5,4,4,4,1,4,2,3,4,3,3,2,5,3,3,5,1,"SE",3,"1252"
4,3,5,4,5,4,4,4,5,4,4,4,5,3,1,5,2,4,4,3,4,4,4,3,3,1,2,"US",2,"1106"
5,1,2,2,2,2,4,3,4,2,3,2,2,4,2,2,4,2,2,4,2,1,2,2,2,2,1,"US",1,"11897"
4,4,4,4,4,4,5,4,4,4,5,2,4,4,3,4,3,3,3,3,4,3,4,3,4,3,4,"US",2,"17462"
3,2,1,2,2,1,4,3,2,3,4,1,3,1,2,4,2,3,2,5,2,1,2,1,5,1,1,"US",3,"12849"
5,5,5,4,5,5,5,5,5,5,4,5,4,5,1,4,1,5,4,3,5,2,5,5,3,4,5,"US",1,"3502"
4,4,5,4,5,4,4,3,4,2,5,2,3,4,5,2,4,4,3,4,2,3,4,3,2,4,3,"NZ",1,"7679"
4,4,4,4,4,5,5,3,5,4,4,4,4,4,4,3,2,4,4,3,4,3,5,4,2,2,4,"SG",2,"8713"
5,3,4,4,5,5,5,4,5,3,4,2,1,2,2,2,2,3,3,2,1,1,4,3,2,4,5,"US",3,"17202"
5,5,5,5,5,5,5,5,5,4,1,4,3,5,1,4,1,5,4,1,3,5,5,4,3,5,5,"US",3,"13133"
4,2,3,5,2,2,4,2,5,1,4,1,2,4,4,2,4,2,2,2,1,2,4,4,2,1,2,"US",1,"16338"
5,5,4,4,5,5,5,3,5,5,5,5,4,5,2,5,1,5,4,1,3,5,5,2,2,4,4,"US",2,"15288"
4,4,2,3,4,4,4,4,4,4,4,2,3,4,4,1,2,4,3,4,4,2,2,4,5,4,2,"US",1,"4479"
4,4,2,4,4,4,5,4,4,2,5,2,2,2,5,1,4,4,5,2,2,2,4,4,5,2,2,"US",1,"5484"
5,5,3,5,5,5,5,3,5,3,5,2,2,3,5,3,3,3,4,2,5,4,1,5,1,3,4,"NZ",3,"532"
4,2,3,3,1,1,4,4,4,4,4,2,2,2,3,1,4,4,4,3,2,2,4,2,4,3,2,"US",1,"1557"
3,2,1,1,1,1,4,3,2,2,4,1,1,4,5,2,2,2,4,5,1,2,4,2,5,3,1,"US",1,"7051"
3,1,3,2,3,3,2,2,4,3,4,1,1,3,5,1,4,3,2,2,1,1,1,4,3,1,1,"GB",3,"11626"
5,2,4,2,3,2,5,3,1,2,5,1,2,2,5,1,4,1,3,4,2,2,4,2,5,1,1,"FI",3,"16883"
5,3,3,2,5,4,5,4,5,1,4,1,3,4,2,4,2,4,3,2,2,2,5,3,1,4,4,"US",2,"15977"
4,2,2,4,3,4,4,3,4,4,3,2,1,2,5,1,4,2,2,3,4,2,4,3,4,1,2,"GB",1,"9930"
5,4,3,5,5,4,5,3,5,2,2,2,2,4,3,4,2,4,4,2,2,1,4,4,4,1,4,"GB",3,"5357"
4,4,5,4,4,3,4,1,4,5,5,4,1,5,4,4,4,1,3,4,2,4,2,2,5,1,2,"US",1,"18108"
5,4,2,3,4,4,5,2,4,2,1,1,1,2,2,1,4,4,1,4,2,1,4,2,2,3,4,"US",3,"11796"
5,4,4,5,3,5,5,3,4,4,5,4,4,5,5,4,4,4,4,1,5,3,4,5,1,3,4,"US",3,"10507"
5,5,4,5,5,5,5,5,5,3,4,3,3,5,1,3,1,3,5,1,2,4,5,5,2,5,5,"US",3,"8452"
5,2,2,4,3,4,5,2,4,5,2,2,2,4,2,5,2,2,3,2,2,2,4,2,2,2,2,"US",1,"7677"
4,4,3,4,5,4,4,3,5,4,2,3,4,4,1,4,2,4,1,5,2,2,4,4,5,1,4,"FI",3,"16929"
5,5,5,5,5,5,5,5,5,4,3,2,1,5,3,5,1,5,4,4,5,3,5,5,5,5,5,"US",1,"6728"
4,5,4,5,4,4,4,3,5,4,3,3,4,4,3,3,2,4,3,3,3,2,3,4,4,3,4,"US",3,"14295"
5,4,4,4,3,4,5,3,4,4,1,2,4,5,2,2,2,2,2,3,2,1,4,2,4,1,4,"CA",2,"15533"
4,1,2,5,2,0,1,3,2,1,5,1,1,1,2,1,2,1,1,5,1,4,5,1,5,1,1,"US",3,"2819"
1,4,4,4,5,4,4,4,4,5,4,4,3,5,3,4,3,4,3,2,4,3,2,4,5,3,4,"GB",1,"2843"
3,2,2,3,3,4,4,4,3,2,3,2,3,2,2,1,4,2,4,4,3,1,4,3,4,4,1,"US",3,"17425"
5,5,5,5,5,4,4,3,5,5,3,4,5,5,2,5,1,5,2,5,2,2,4,5,5,2,5,"US",2,"4667"
4,2,3,4,3,2,4,2,3,4,5,2,2,3,4,2,4,3,3,4,3,1,4,2,3,1,2,"CA",1,"327"
4,3,3,5,1,3,5,1,4,4,3,2,4,2,4,2,2,3,2,4,1,1,4,2,2,4,2,"AU",1,"4827"
4,4,5,4,5,5,5,3,5,4,2,4,4,4,2,3,2,4,3,2,5,3,4,4,4,4,4,"US",3,"6996"
4,4,2,2,2,2,4,2,3,3,3,2,2,2,4,2,4,2,2,2,3,3,4,3,2,3,2,"US",1,"12788"
5,5,1,5,2,1,5,3,4,4,2,5,1,4,4,3,4,1,1,2,1,3,3,1,5,1,3,"US",1,"4790"
